JD,m_V,m_R
2453655.309,15.205,15.184
2453655.31,15.18,15.164
2453655.311,15.123,15.154
2453655.312,15.185,15.185
2453655.313,15.16,15.204
2453655.313,15.199,15.217
2453655.314,15.156,15.202
2453655.315,15.145,15.157
2453655.316,15.181,15.173
2453655.317,15.182,15.174
2453655.318,15.262,15.169
2453655.319,15.238,15.229
2453655.32,15.241,15.23
2453655.321,15.279,15.198
2453655.322,15.341,15.221
2453655.322,15.199,15.237
2453655.323,15.107,15.223
2453655.324,15.205,15.235
2453655.325,14.954,15.288
2453655.326,15.218,15.276
2453655.327,15.329,15.328
2453655.328,15.217,15.337
2453655.329,15.266,15.373
2453655.33,15.113,15.386
2453655.331,15.278,15.389
2453655.331,15.293,15.525
2453655.332,15.521,15.549
2453655.333,15.09,15.739
2453655.334,15.243,16.106
2453655.335,15.273,16.407
2453655.336,15.276,16.905
2453655.337,15.509,17.247
2453655.338,15.457,17.479
2453655.339,15.5,17.349
2453655.34,15.479,17.083
2453655.34,15.883,17.13
2453655.341,16.218,16.492
2453655.342,16.742,16.067
2453655.343,16.685,15.794
2453655.344,17.69,15.694
2453655.345,16.79,15.618
2453655.346,17.304,15.489
2453655.347,16.861,15.446
2453655.348,16.23,15.398
2453655.348,15.943,15.353
2453655.349,15.722,15.392
2453655.35,15.624,15.371
2453655.351,15.444,15.375
2453655.352,15.352,15.361
2453655.353,15.669,15.395
2453655.354,15.386,15.311
2453655.355,15.484,15.345
2453655.356,15.337,15.384
2453655.357,15.415,15.355
2453655.357,15.355,15.388
2453655.358,15.41,15.322
2453655.359,15.381,15.322
2453655.36,15.397,15.338
2453655.361,15.367,15.4
2453655.362,15.538,15.394
2453655.363,15.538,15.39
2453655.364,15.289,15.436
2453655.365,15.393,15.416
2453655.366,15.338,15.422
2453655.366,15.34,15.375
2453655.367,15.389,15.355
2453655.368,15.318,15.409
2453655.369,15.283,15.41
2453655.37,15.234,15.408
2453655.371,15.37,15.328
