mu_fit,error_mu_fit
1816.3674675203056,0.001561168961553978
1816.7235476571118,0.0009941855393484167
1817.0831147889087,0.001240887513715258
1817.4400230323602,0.0011953119891357298
1817.7957560678342,0.001175239907814187
1818.1548590031082,0.0009997015176377898
1818.5100271980887,0.0011988060049363492
1818.8674178210033,0.0010318984291586726
1819.2247348638728,0.0010991393998899942
1819.584519419387,0.0013937090085685262
1819.9417969708918,0.0013636663900793793
1820.2969809249694,0.0011102229908321998
1820.6548791321384,0.0010201131057010384
1821.0129730403014,0.0009010097494955155
1821.3702458203406,0.0010130858134099507
1821.7294722070578,0.0013325352944421063
1822.0869785893437,0.0012190428495101788
1822.44388497012,0.0011356371530163044
1822.8017485520793,0.0010291024375607607
1823.160244936212,0.0010030713545623722
1823.5177977133656,0.0010962811373491305
1823.871800952001,0.00112220473789266
1824.23198988393,0.0013416168097853374
1824.5882066707543,0.0012482201144987286
1824.946428585244,0.0013990386108951177
1825.3040971276696,0.0013931749458687237
1825.6613217101294,0.001176504885509751
1826.0188778205716,0.0013620216096464487
1826.3767818719166,0.0012832891341069534
1826.734568845688,0.0013059008339831417
1827.0906275393152,0.0014201026070823808
1827.448024665157,0.0012804409341325644
1827.1284595925902,inf
1829.2378797621068,0.0012571486765765225
1829.593261952776,0.0013723519270832328
1829.9504189244067,0.0010497351539314399
1830.3064700398288,0.0013761308385276155
1830.6679886060042,0.001202504969181001
1831.0236961048315,0.0010771919334762834
1831.3808989900174,0.0012189936820383917
1831.7387834677895,0.0011414175981858342
1832.0965970309137,0.0012184843982545092
1832.4547721061276,0.0012325254029116489
1832.81130031575,0.0011765842179256875
1833.168924178498,0.0012705690115380527
1833.5273482626096,0.0011403850502156112
1833.8847587124556,0.0012610956221220542
1834.2414442085842,0.0011760920157436038
1834.59963956136,0.0013934919374805857
1834.9580100018484,0.0013642610241729072
1835.3125207022856,0.0010349972335398053
1835.6713941208711,0.000949298082328594
1836.0274963695947,0.0012525787333203151
1836.3844080891145,0.0012558205095944837
1836.7428919820863,0.00101382714617764
1837.102363229621,0.0011583071143313247
1837.4615815773675,0.0011301279070359187
1837.8164077675717,0.0015443732146319003
1838.1741585874975,0.001225047498847528
1838.5327408705098,0.0011034637068438845
1838.8902202099666,0.0014460652063967908
1839.2454287504,0.0013935019908667746
1839.6017598454227,0.0014053229330959034
1839.9622973376377,0.0012395752236542634
1840.31938014874,0.00126496567754403
1840.6754406789366,0.0014836530404040644
1841.0335791184502,0.004611880051792613
